budget_definition,cv_percustomer_static,cv_percustomer_habit,habit_minus_static,habit_minus_static_pct_of_static,habit_to_static_ratio_abs,scale_factor,test_dropped_invalid_income_or_custcoun
nondurable,-23.446512480221948,-23.402496174444217,0.04401630577773119,0.18773071609204425,0.9981226928390795,0.9073911942948494,350
total_revenue,-23.178317127083847,-23.135225753641965,0.0430913734418823,0.1859124336146478,0.9981408756638536,0.5155044818552773,350
haba_only,-29.909627431040303,-28.950391084521534,0.9592363465187681,3.2071156644474605,0.9679288433555254,13.600515374623779,350
nondurable_winsor_1_99,-23.39048210911431,-23.34815474625271,0.04232736286159877,0.1809597710049146,0.9981904022899508,0.9078461879201613,350
