Demographic_group,CV_static,CV_habit,Gap_$,Gap_%
income:Low,-22.61249039248497,-20.50228988628896,2.1102005061960085,9.332012837017334
income:Mid,-19.737496090388184,-17.571878522089914,2.16561756829827,10.97209878284859
income:High,-24.983427747484555,-21.622537636320498,3.360890111164057,13.45247795912411
poverty:Low,-24.626906917280106,-21.13210663446219,3.4948002828179163,14.19098344163432
poverty:High,-23.222042152847163,-21.31616058584806,1.9058815669991027,8.207209144030557
shopavid:High,-21.467742208008804,-19.230637041505393,2.2371051665034116,10.420775248870056
shopavid:Low,-22.866649922004726,-20.013850525370657,2.852799396634069,12.4758082463527
