Model,CV_per_HABA,SE_cluster_store
Neural Demand (static),-0.0012399092934809461,2.306811734939373e-05
Neural Demand (habit),-0.0010813941129036186,2.1714766284491287e-05
"Neural Demand (habit, FE)",-0.001096291559824925,2.1768389156837698e-05
"Neural Demand (habit, CF)",-0.0010887369402331295,2.146234069732571e-05
