Model,CV_per_store_week,Implied_buyers,CV_per_buyer,SE_cluster_store,Annualized_x5
Neural Demand (static),-23.509971404790274,1105.814766259899,-0.022578395557595124,0.0006601201672696663,-0.11289197778797562
Neural Demand (habit),-20.623412679233784,1105.814766259899,-0.01976551968413152,0.000623729290610595,-0.09882759842065761
"Neural Demand (habit, FE)",-20.903876666978345,1105.814766259899,-0.020046215485515266,0.0006315446636700113,-0.10023107742757634
"Neural Demand (habit, CF)",-20.728496981464705,1105.814766259899,-0.01987014731282566,0.0006177412088865771,-0.0993507365641283
Gap (habit-static),,,0.002812875873463603,,0.014064379367318015
