Model,Shock_Good,Response_Good,Elasticity_mean,Elasticity_std
Neural Demand (habit),Aspirin,Aspirin,-1.0068,0.0015
Neural Demand (habit),Aspirin,Acetaminophen,0.0043,0.0078
Neural Demand (habit),Aspirin,Ibuprofen,-0.0012,0.009
Neural Demand (habit),Acetaminophen,Aspirin,0.045,0.0177
Neural Demand (habit),Acetaminophen,Acetaminophen,-1.241,0.0098
Neural Demand (habit),Acetaminophen,Ibuprofen,0.2709,0.0157
Neural Demand (habit),Ibuprofen,Aspirin,0.0113,0.0164
Neural Demand (habit),Ibuprofen,Acetaminophen,0.1603,0.0135
Neural Demand (habit),Ibuprofen,Ibuprofen,-1.1999,0.0136
