Model,CV_mean,CV_se,CV_err_pct
Logit-IV,-65.70716234907925,0.3818502913040674,6.809660835217321
Ground Truth,-61.51799550271979,0.06833148869166956,0.0
LA-AIDS,-66.27015678421783,0.38352211738714226,7.7248311533296645
Neural Demand (CF),-66.41172051766165,0.26462251663672387,7.954948751094302
Neural Demand (habit),-63.98469038107835,0.27004622078727847,4.009712699838381
"Neural Demand (habit, CF)",-63.218873744496044,4.523218887819553,2.764846656456896
Neural Demand (static),-66.62319110548415,0.21675248407485467,8.298702779642184
QUAIDS,-66.25971242929715,0.3422071736410056,7.707853430249891
Series Estm.,-66.73454542937358,0.407726369859115,8.479713755340354
